Listagem dos Filmes Brasileiros Lançados Comercialmente em Salas de Exibição 1995 a 2018;;;;;;;;;;;;
;;;;;;;;;;;;
Ano de Lançamento;Certificado de Produto Brasileiro (CPB);Título;Direção;Gênero;Empresa Produtora Brasileira Majoritária;UF;Empresa Produtora Minoritária Brasileira;UF;Distribuidora;Máximo de Salas;Renda (R$);Público 
2018;B1800001000000;Ex-Pajé;Luiz Bolognesi;Documentário;Buriti Filmes;SP;Gullane;SP;Gullane Entretenimento;14;130030.00;9133
2018;B1800056700000;Ferrugem;Aly Muritiba;Ficção;Grafo Audiovisual;PR;Globo Filmes/Canal Brasil/O2 Filmes;RJ/RJ/SP;Olhar Distribuição;60;362004.00;27808
2018;B1600412300000;Fica Mais Escuro Antes Do Amanhecer;Thiago Luciano;Ficção;Zero Grau Filmes;SP;Canal Brasil;RJ;O2 Play;12;6648.00;540
2018;B1800044200000;Filme Paisagem - Um Olhar Sobre Roberto Burle Marx;João Vargas;Documentário;Camisa Listrada;RJ;João Vargas; -;Elo Company;8;25226.00;1837
2018;B1600754000000;Gaby Estrella;Cláudio Boeckel;Ficção;Chatrone America Latina/Panorâmica;SP/RJ; -; -;Downtown/Paris;153;506245.00;37679
2018;B1700529800000;Garimpeiros Do Voto;Ernesto Carneiro Rodrigues;Documentário;Bizum Comunicação;RJ;Globo Filmes/Canal Brasil;RJ;Bizum;1;328.00;75
2018;B1700605900000;Górgona;Fábio Galvani Furtado/Pedro Cavalheiro Jezler;Documentário;Fábio Galvani Furtado/Pedro Cavalheiro Jezler; -; -; -;Espaço Filmes;4;4189.00;224
2018;B1700481900000;Grandes Médicos;Luiz Alberto Brizola Cassol/Marilaine Castro Da Costa;Documentário;Accorde Filmes;RS; -; -;Accorde Audiovisuais;1;190.00;24
2018;B1800152000000;Guarnieri;Francisco Lima Guarnieri;Documentário;Mira Filmes;SP; -; -;Mira Filmes;6;769.00;199
2018;B1700469700000;Henfil;Angela Zoé;Documentário;Documenta Filmes;RJ;Globo Filmes/Canal Brasil;RJ;O2 Play;25;29591.00;2116
2018;B1700374300000;Híbridos, Os Espíritos Do Brasil;Vincent Moon/Priscilla Telmon;Documentário;Feever Filmes;RJ; -; -;Descoloniza Filmes;5;22841.00;1420
2018;B1800290300000;Hilda Hilst Pede Contato;Gabriela Greeb;Documentário;Homemadefilms;SP; -; -;Imovision;17;53086.00;3936
2018;B1700065100000;Histórias Que Nosso Cinema (Não) Contava;Fernanda Pessoa;Documentário;Pessoa Produções Artísticas;SP;Studio Riff;SP;Boulevard Filmes;16;46222.00;3892
2018;B1600193300000;Imagens Do Estado Novo 1937-45;Eduardo Escorel;Documentário;Tatu Filmes;SP; -; -;Brasil 1500;5;39625.00;2701
2018;B1800449100000;Intimidade Entre Estranhos;José Alvarenga Jr.;Ficção;Migdal Filmes;RJ;Globo Filmes/Canal Brasil;RJ;Vitrine Filmes;35;63364.00;4017
2018;B1800548300000;Isto (Não) É Um Assalto;Rodrigo Souza Grota;Documentário;Kinopus;PR; -; -;Kinopus;4;10261.00;1067
2018;B1800046600000;Legalize Já - Amizade Nunca Morre;Gustavo Bonafé/Johnny Araújo;Ficção;Academia de Filmes;SP;Telecine/Rede Record de Televisão;RJ/SP;Imagem;173;533139.00;36251
2018;B1700307700000;Literalmente Especiais;Victor Hugo Rezende Molin;Documentário;Filmland Internacional;SP; -; -;Latinamerica Entretenimento Internacional;1;3033.00;295
2018;B1700605800000;Los Territorios;Ivan Pablo Granovsky;Documentário;Punta Colorada de Cinema;SP;Sancho Filmes;SP;Vitrine Filmes;10;8504.00;864
2018;B1800260300000;Marcha Cega;Gabriel Di Giacomo Rocha;Documentário;Salvatore Filmes;SP; -; -;Elo Company;21;6692.00;900
2018;B1700000300000;Marcos Medeiros - Codinome Vampiro;Vicente Duque Estrada Paim;Documentário;Cavideo Produções;RJ;Canal Brasil;RJ;Cavideo Produções;1;1615.00;117
2018;B1800092400000;Mare Nostrum;Ricardo Elias;Ficção;Raiz Produções;SP; -; -;Imovision;21;25177.00;1950
2018;B1800002100000;Mata Negra;Rodrigo Simões Aragão;Ficção;Fábulas Negras Produções Artísticas;ES;Finordia Produções;ES;Elo Company;22;8561.00;873
2018;B1800177600000;Memória Italiana - Histórias Em Família;Adriana Da Silva;Documentário;Filmland Internacional;SP; -; -;Latinamerica Entretenimento Internacional;1;854.00;77
2018;B1700306600000;Memórias De Uma Escola;Adriana Da Silva;Documentário;Filmland Internacional;SP; -; -;Latinamerica Entretenimento Internacional;1;2834.00;275
2018;B1700480400000;Meu Tio E O Joelho De Porco;Rafael Terpins;Documentário;A Fantástica Fábrica de Filmes;SP;Canal Brasil;RJ;Elo Company;22;4140.00;475
2018;B1800505200000;Meu Tricolor De Aço;Alcino Carvalho Brasil/Edvaldo Siqueira Albuquerque/Glauber Filho;Documentário;Estação Luz Filmes;CE; -; -;Estação Luz Filmes;16;141001.00;9541
2018;B1800563600000;Minas Do Futebol;Yugo Hattori;Documentário;Paris Entretenimento;SP;Alvorada Filmes;SP;Paris;2;556.00;41
2018;B1800539000000;Minha Vida Em Marte;Susana Garcia Assis Freire;Ficção;Capri Produções;RJ;A Fábrica/Globo Filmes/Xanadu;RJ;Downtown/Paris;925;14715902.00;925411
2018;B1800300700000;Missão 115;Silvio Piropo Da Rin;Documentário;Diálogo Comunicação;RJ;Afinal Filmes;RJ;Bretz Filmes;8;20520.00;1467
2018;B1700465300000;Moacir;Tomas Lipgot;Documentário;Miração Filmes;SP; -; -;Miração Filmes;5;4298.00;375
2018;B1700614000000;Motorrad;Vicente Amorim;Ficção;Filmland Internacional;SP; -; -;Warner;166;141413.00;10493
2018;B1800269200000;Mulheres Alteradas;Luis Pinheiro;Ficção;O2 Filmes;SP;Globo Filmes/Telecine;RJ;Downtown/Paris;163;1440179.00;92607
2018;B1402254000000;My Name Is Now, Elza Soares;Elizabete Martins Campos;Documentário;IT Filmes;MG; -; -;It Filmes;13;43868.00;2836
2018;B1800110100000;Nada A Perder;Alexandre Avancini;Ficção;Record Entretenimento;SP; -; -;Downtown/Paris;1,161;120992794.00;12184373
2018;B1800010300000;Não Se Aceitam Devoluções;Andre Torres Moraes;Ficção;Total Entertainment;RJ; -; -;Fox;488;4182222.00;292740
2018;B1700184000000;Nova Amsterdam;Edson Soares;Ficção;Engady Cine Vídeo;RN; -; -;Engady Cine Vídeo;2;4323.00;340
2018;B1700456600000;O Animal Cordial;Gabriela Amaral Almeida;Ficção;RT Features;SP;Canal Brasil;RJ;Califórnia;22;121650.00;8517
2018;B1500416000000;O Animal Sonhado;Breno Macedo Batista/Luciana Vieira/Rodrigo Fernandes Dantas De Menezes/Samuel Brasileiro/Ticiana Augusto Lima/Victor Costa Lopes;Ficção;Tardo Filmes;CE; -; -;Olhar Distribuição;1;994.00;117
2018;B1800501600000;O Avental Rosa;Jayme Monjardim;Ficção;Accorde Filmes;RS;Globo Filmes;RJ;Accorde Audiovisuais;1;800.00;126
2018;B1700260300000;O Banquete;Daniela Thomas;Ficção;Cisma Produções;SP;T + T Projetos;SP;Imovision;30;167525.00;10052
2018;B1700584300000;O Beijo No Asfalto;Murilo Benício;Ficção;República Pureza Filmes;RJ;Canal Brasil;RJ;Arthouse;31;112859.00;7902
2018;B1800307900000;O Candidato Honesto 2;Roberto Santucci;Ficção;Camisa Listrada/Panorama Filmes;RJ;Telecine;RJ;Downtown/Paris;736;8363263.00;580568
2018;B1700451600000;O Caso Do Homem Errado;Camila Lopes De Moraes;Documentário;Praça de Filmes;RS; -; -;Interagir Cultural;2;10797.00;1207
2018;B1800323800000;O Colar De Coralina;Reginaldo Gontijo;Ficção;Brasilirica ;DF;Lua Virada;DF;O2 Play;55;32614.00;2845
2018;B1800055100000;O Cravo E A Rosa - O Documentário;Jorge Elias Primo Neto;Documentário;Kellys Kelfis;RJ; -; -;Nozes Produções;1;70.00;6
2018;B1700615400000;O Desmonte Do Monte;Sinai Sganzerla;Documentário;Mercúrio Produções;SP; -; -;Mercúrio Produções;9;69773.00;5121
2018;B1800397100000;O Doutrinador - O Filme;Gustavo Bonafé;Ficção;Paris Entretenimento;SP;Telecine;RJ;Downtown;467;3933475.00;276658
2018;B1800446400000;O Fantástico Patinho Feio;Denilson Felix Da Silva;Documentário;Caldo de Cana Filmes;DF; -; -;Elo Company;25;5714.00;596
2018;B1800000800000;O Grande Circo Mistico;Cacá Diegues;Ficção;Luz Mágica Produções;RJ;Globo Filmes;RJ;H2O Films;152;831794.00;51120
2018;B1800115600000;O Homem Perfeito;Marcus Baldini;Ficção;Damasco Filmes;SP;Popcon/Telecine;SP/RJ;Downtown;46;178904.00;11289
2018;B1800398300000;O Homem Que Parou O Tempo;Hilnando Souto Mendes;Ficção;Hilnando Souto Mendes;RJ; -; -;Elo Company;22;8236.00;982
2018;B1700090400000;O Jabuti E A Anta;Eliza Ribeiro Capai;Documentário;Usina de Imagens;ES;1979 Curadoria e Criatividade Musical e Sonora/Associação Civil Greenpeace/Marina Yamaoka/Daesquina/Carol Quintanilha;SP;Taturana;1;1905.00;202
2018;B1800247400000;O Muro;Lula Buarque De Hollanda;Documentário;Espiral;RJ; -; -;Espiral;2;2661.00;205
2018;B1800187300000;O Nó Do Diabo;Gabriel Martins/Ian Abé/Jhésus Tribuzi/Ramon Porto Mota;Ficção;Vermelho Profundo;PB;Elna Design;PB;Elo Company;25;15589.00;1712
2018;B1700513700000;O Nome Da Morte;Henrique Goldman;Ficção;TV Zero;RJ;Globo Filmes/O2 Filmes;RJ/SP;Imagem;139;711964.00;45766
2018;B1800324100000;O Paciente, O Caso Tancredo Neves;Sergio Rezende;Ficção;Morena Filmes;RJ;Globo Filmes/Xanadu/Telecine;RJ;Paris;87;818899.00;40793
2018;B1800130600000;O Processo;Maria Augusta Ramos;Documentário;Nofoco Filmes;RJ;Canal Brasil;RJ;Vitrine Filmes;63;915174.00;65918
2018;B1800038700000;O Renascimento Do Parto 2;Eduardo Chauvet;Documentário;Masterbrasil Filmes, TV e Marketing Digital;DF; -; -;Espaço Filmes;41;100785.00;6234
2018;B1800387700000;O Renascimento Do Parto 3;Eduardo Chauvet;Documentário;Masterbrasil Filmes, TV e Marketing Digital;DF; -; -;Espaço Filmes;13;27773.00;1434
2018;B1800346100000;O Segredo De Davi;Diego Freitas;Ficção;Parakino Filmes;SP;Movioca Content House/EH! Filmes;SP/RJ;Elo Company;84;111775.00;9077
2018;B1700159700000;O Silêncio Da Noite É Que Tem Sido Testemunha Das Minhas Amarguras;Petrônio Lorena;Documentário;Nosotros & Los Demás Produções Artísticas;PE;Candiero Produções;PE;Inquieta Cultura E Comunicação;5;7191.00;794
2018;B1800193400000;O Silêncio É Uma Prece;Carlos André Horácio Salles;Documentário;Cygnus Media;SP; -; -;Downtown/Paris;29;97684.00;5613
2018;B1800509700000;Onde A Moeda Cai Em Pé - A História Do São Paulo Futebol Clube;Alexandre Boechat/Andre Bicudo Plihal/Pedro Bezerra Jorge/Ricardo Aidar;Documentário;Canal Azul;SP;ESPN Brasil;SP;Elo Company;22;34564.00;3854
2018;B1700406200000;Os Caubóis Do Apocalipse;Diego Da Costa;Ficção;Pietà Filmes;SP; -; -;Pietà Filmes;4;7020.00;394
2018;B1800546900000;Os Exterminadores Do Além Contra A Loira Do Banheiro;Fabricio Pires Bittar De Carvalho;Ficção;Clube Filmes;SP; -; -;Vitrine Filmes;314;2340995.00;181614
2018;B1700611000000;Os Farofeiros;Roberto Santucci;Ficção;Camisa Listrada/Panorama Filmes;RJ;Telecine;RJ;Downtown/Paris;725;36820843.00;2604658
2018;B1500794300000;Os Incontestáveis;Alexandre De Jesus Serafini;Ficção;Ladart Produções;ES; -; -;Livres Distribuidora;12;7676.00;789
2018;B1700431000000;Outra História Do Mundo;Guillermo Casanova;Ficção;Três Mundos Produções;RJ; -; -;Fênix Filmes/Tucumán;19;86119.00;5526
2018;B1800127700000;Pagliacci;Chico Gomes/Julio Hey/Luiz Villaça/Luiza Villaça/Pedro Moscalcoff;Documentário;Bossa Nova Films;SP;Globo Filmes/Canal Brasil;RJ;Pandora;2;7805.00;570
2018;B1700026000000;Para Ter Onde Ir;Jorane Castro;Ficção;Cabocla Filmes/Rec Produtores Associados;PA/PE;Cabocla Filmes;PA;O2 Play;8;13371.00;1670
2018;B1800202100000;Paraíso Perdido;Monique Gardenberg;Ficção;Dueto Filmes;RJ;Casé Filmes;RJ;Vitrine Filmes;103;321229.00;21554
2018;B1800487600000;Parquelândia;Cecília Da Fonte;Documentário;Ventana Filmes;PE; -; -;Taturana;1;190.00;18
2018;B1700590500000;Paulistas;Daniel Nolasco;Documentário;Estúdio Giz;RJ;Panaceia Filmes/Daniel Nolasco;GO;Vitrine Filmes;17;7201.00;1076
2018;B1700011500000;Peixonauta: O Filme;Celia Serra/Kiko Mistrorigo/Rodrigo Eba!;Animação;TV Pinguim;SP; -; -;Riofilme;90;300329.00;22144
2018;B1700088100000;Pela Janela;Caroline Leone;Ficção;Dezenove Som e Imagens;SP; -; -;Vitrine Filmes;27;37415.00;5121
2018;B1700242100000;Piripkura;Bruno Maciel Jorge Arantes/Mariana Oliva/Renata Terra Cunha;Documentário;Zeza Filmes;SP; -; -;Synapse;6;16809.00;908
2018;B1700527500000;Pra Ficar Na História;Boca Migotto;Documentário;Globo Filmes;RJ;Epifania Filmes/Teimoso Filmes e Artes;RS;Pipoca & Filmes;2;2582.00;309
2018;B1700405200000;Praça Paris;Lucia Murat;Ficção;Taiga Filmes e Vídeo;RJ;Telecine;RJ;Imovision;21;206149.00;13348
2018;B1500585400000;Quase Memória;Ruy Guerra;Ficção;Kinossaurus Filmes;RJ;Globo Filmes/Lereby;RJ;Pandora;19;60683.00;4188
2018;B1800396500000;Quem Mora Lá;Cesar Augusto Vieira Leonardo/Conrado Francisco Ferrato/Rafael Kalil Crespo;Documentário;Valete de Copas Filmes;SP; -; -;Califórnia/Taturana;1;779.00;65
2018;B1700332400000;Querida Mamãe;Jeremias Moreira;Ficção;Moonshot Pictures;SP; -; -;Elo Company;31;17577.00;1646
2018;B1700409900000;Querido Embaixador;Luiz Fernando Goulart;Documentário;Toscana Audiovisual;RJ;Globo Filmes/Canal Brasil;RJ;Elo Company;23;26425.00;2297
2018;B1800549200000;Rasga Coração;Jorge Furtado;Ficção;Casa de Cinema de Porto Alegre;RS;Globo Filmes/Canal Brasil/Guel Produtora;RJ;Sony;32;130436.00;7850
2018;B1800077300000;Rio Do Medo;Ernesto Carneiro Rodrigues;Documentário;Bizum Comunicação;RJ;Globo Filmes/Canal Brasil;RJ;Bizum;1;519.00;79
2018;B1700606700000;Rio Mumbai;Gabriel Mellin De Campos/Pedro Sodré Dias Lopes;Ficção;Copa Filmes/Rio Cinema Digital;RJ;Copa Filmes;RJ;Copa Filmes;3;4202.00;322
2018;B1600641100000;Rogério Duarte O Tropikaoslista;Walter Lima;Documentário;VPC Cinemavídeo;BA; -; -;O2 Play;15;16162.00;1419
2018;B1700581200000;Sailing Band;Denis Nielsen;Documentário;Paris Entretenimento;SP;Tapa Filmes;SP;Downtown/Paris;1;2609.00;130
2018;B1800211500000;Salto No Vazio;Cavi Borges/Patricia Niedermeier;Ficção;Cavideo Produções;RJ; -; -;Cavideo Produções;1;2137.00;124
2018;B1600050100000;Santoro- O Homem E Sua Música;John Howard Szerman;Documentário;John Howard Szerman Produções Cinematográficas;DF; -; -;Dada' N Zen Produções;10;7435.00;489
